"Country_Region","Province_State","Source","Population"
"Afghanistan","",9,31056997
"Albania","",9,3581655
"Algeria","",9,32930091
"Andorra","",9,71201
"Angola","",9,12127071
"Antigua and Barbuda","",9,69108
"Argentina","",9,39921833
"Armenia","",9,2976372
"Australia","Australian Capital Territory",3,428100
"Australia","New South Wales",3,8118000
"Australia","Northern Territory",3,245600
"Australia","Queensland",3,5115500
"Australia","South Australia",3,1756500
"Australia","Tasmania",3,535500
"Australia","Victoria",3,6629900
"Australia","Western Australia",3,2630600
"Austria","",9,8192880
"Azerbaijan","",9,7961619
"Bahamas","",9,303770
"Bahrain","",9,698585
"Bangladesh","",9,147365352
"Barbados","",9,279912
"Belarus","",9,10293011
"Belgium","",9,10379067
"Belize","",9,287730
"Benin","",9,7862944
"Bhutan","",9,2279723
"Bolivia","",9,8989046
"Bosnia and Herzegovina","",9,4498976
"Botswana","",9,1639833
"Brazil","",9,188078227
"Brunei","",9,379444
"Bulgaria","",9,7385367
"Burkina Faso","",9,13902972
"Burma","",9,47382633
"Burundi","",9,8090068
"Cabo Verde","",2,583255
"Cambodia","",9,13881427
"Cameroon","",9,17340702
"Canada","Alberta",4,4413146
"Canada","British Columbia",4,5110917
"Canada","Manitoba",4,1377517
"Canada","New Brunswick",4,779993
"Canada","Newfoundland and Labrador",4,521365
"Canada","Northwest Territories",4,44904
"Canada","Nova Scotia",4,977457
"Canada","Ontario",4,14711827
"Canada","Prince Edward Island",4,158158
"Canada","Quebec",4,8537674
"Canada","Saskatchewan",4,1181666
"Canada","Yukon",4,41078
"Central African Republic","",9,4303356
"Chad","",9,9944201
"Chile","",9,16134219
"China","Anhui",5,63240000
"China","Beijing",5,21540000
"China","Chongqing",5,31020000
"China","Fujian",5,39410000
"China","Gansu",5,26370000
"China","Guangdong",5,113460000
"China","Guangxi",5,49260000
"China","Guizhou",5,36000000
"China","Hainan",5,9340000
"China","Hebei",5,75560000
"China","Heilongjiang",5,37730000
"China","Henan",5,96050000
"China","Hong Kong",2,7249907
"China","Hubei",5,59170000
"China","Hunan",5,68990000
"China","Inner Mongolia",5,25340000
"China","Jiangsu",5,80510000
"China","Jiangxi",5,46480000
"China","Jilin",5,27040000
"China","Liaoning",5,43590000
"China","Macau",2,614458
"China","Ningxia",5,6880000
"China","Qinghai",5,6030000
"China","Shaanxi",5,38640000
"China","Shandong",5,100470000
"China","Shanghai",5,24240000
"China","Shanxi",5,37180000
"China","Sichuan",5,83410000
"China","Tianjin",5,15600000
"China","Tibet",5,3440000
"China","Xinjiang",5,24870000
"China","Yunnan",5,48300000
"China","Zhejiang",5,57370000
"Colombia","",9,43593035
"Congo (Brazzaville)","",9,3702314
"Congo (Kinshasa)","",9,62660551
"Costa Rica","",9,4075261
"Cote d'Ivoire","",9,17654843
"Croatia","",9,4494749
"Cuba","",9,11382820
"Cyprus","",9,784301
"Czechia","",9,10235455
"Denmark","",9,5450661
"Denmark","Faroe Islands",6,50844
"Denmark","Greenland",7,56081
"Diamond Princess","",8,3711
"Djibouti","",9,486530
"Dominica","",9,68910
"Dominican Republic","",9,9183984
"Ecuador","",9,13547510
"Egypt","",9,78887007
"El Salvador","",9,6822378
"Equatorial Guinea","",9,540109
"Eritrea","",9,4786994
"Estonia","",9,1324333
"Eswatini","",2,1104479
"Ethiopia","",9,74777981
"Fiji","",9,905949
"Finland","",9,5231372
"France","",9,60876136
"France","French Guiana",11,290691
"France","French Polynesia",2,295121
"France","Guadeloupe",11,376879
"France","Martinique",11,358749
"France","Mayotte",11,279471
"France","New Caledonia",2,290009
"France","Reunion",11,859959
"France","Saint Barthelemy",2,7122
"France","Saint Pierre and Miquelon",2,5347
"France","St Martin",2,32556
"Gabon","",9,1424906
"Gambia","",9,1641564
"Georgia","",9,4661473
"Germany","",9,82422299
"Ghana","",9,22409572
"Greece","",9,10688058
"Grenada","",9,89703
"Guatemala","",9,12293545
"Guinea","",9,9690222
"Guinea-Bissau","",9,1442029
"Guyana","",9,767245
"Haiti","",9,8308504
"Holy See","",2,1000
"Honduras","",9,7326496
"Hungary","",9,9981334
"Iceland","",9,299388
"India","",9,1095351995
"Indonesia","",9,245452739
"Iran","",9,68688433
"Iraq","",9,26783383
"Ireland","",9,4062235
"Israel","",9,6352117
"Italy","",9,58133509
"Jamaica","",9,2758124
"Japan","",9,127463611
"Jordan","",9,5906760
"Kazakhstan","",9,15233244
"Kenya","",9,34707817
"Korea, South","",9,48846823
"Kosovo","",2,1932774
"Kuwait","",9,2418393
"Kyrgyzstan","",9,5213898
"Laos","",9,6368481
"Latvia","",9,2274735
"Lebanon","",9,3874050
"Liberia","",9,3042004
"Libya","",9,5900754
"Liechtenstein","",9,33987
"Lithuania","",9,3585906
"Luxembourg","",9,474413
"MS Zaandam","",12,1829
"Madagascar","",9,18595469
"Malawi","",9,13013926
"Malaysia","",9,24385858
"Maldives","",9,359008
"Mali","",9,11716829
"Malta","",9,400214
"Mauritania","",9,3177388
