"id","link"
1,"https://www.census.gov"
2,"https://www.cia.gov"
3,"https://www.abs.gov.au"
4,"https://www.statcan.gc.ca"
5,"http://data.stats.gov.cn"
6,"https://www.faroeislands.fo"
7,"http://www.stat.gl"
8,"https://www.pharmaceutical-technology.com/features/coronavirus-outbreak-the-countries-affected/"
9,"https://www.kaggle.com/fernandol/countries-of-the-world"
10,"https://population.un.org"
11,"https://www.insee.fr"
12,"https://www.cbc.ca/news/business/cruise-ship-holland-america-covid-19-canadians-1.5506674"
13,"https://opendata.cbs.nl/statline/#/CBS/nl/dataset/83698NED/table?ts=1578654405815"
